"id","name","ofClientsYears","accountId","annualActualBudget","budgetRangeCalc","ediApproach","fullTimeStaffCount","fullTimeStaffRange","headOfOrgRaceEthnicity","organizationType","payorType","programCohort","programEngagement","serviceLevelOne","serviceLevelTwo","sponsor","surveyFrequency","createdDate","createdBy","lastModifiedDate","lastModifiedBy","systemModstamp"
a0u4T000005uF7aQAE,App-20220610-21,,"0014T00000GGDuCQAX",14000000,>$10M-$25M,0.0,120.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",self-pay,a054T00000B0srvQAB,a064T000001f7tPQAQ,"Agriculture, fishing and forestry",Agriculture,,Sometimes,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:27:13","0051C000008XsOpQAK","2023-02-10 19:27:13"
a0u4T000005uF7bQAE,App-20220610-22,,"0014T00000GGEDWQA5",6000000,>$5M-$10M,0.0,51.0,"41-60",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srvQAB,a064T000001f7tQQAQ,Education,Elementary and secondary education,The Boston Foundation,Occasionally,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:26:51","0051C000008XsOpQAK","2023-02-10 17:26:51"
a0u4T000005uF7cQAE,App-20220610-23,,"0014T00000Jr6CmQAJ",1700000,$1M-$5M,0.0,14.0,"10-20",White,"501(c)3 public charity",funder-sponsored,a054T00000B0srgQAB,a064T000001f7u1QAA,Education,Equal opportunity in education,The Boston Foundation,Regularly,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:37:45","0051C000008XsOpQAK","2023-02-10 17:37:45"
a0u4T000005uF7dQAE,App-20220610-24,,"0014T00000Jr6LvQAJ",1000000,$1M-$5M,0.0,3.0,<5,Another race or ethnicity (please describe below):,"501(c)3 public charity",self-pay,a054T00000B0srqQAB,a064T000001f7uPQAQ,Arts and culture,Arts services,,Regularly,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:31:22","0051C000008XsOpQAK","2023-02-10 19:31:22"
a0u4T000005uF7eQAE,App-20220610-25,,"0014T00000JtY4uQAF",313526,<$1M,0.0,3.0,<5,White,"501(c)3 public charity",self-pay,a054T00000B0srbQAB,a064T000001f7uzQAA,Community and economic development,Employment (Economic development),,Sometimes,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 17:50:52","0051C000008XsOpQAK","2023-02-10 17:50:52"
a0u4T000005uF7fQAE,App-20220610-26,,"0014T000009ZYs1QAG",2040439,$1M-$5M,,13.0,"10-20",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7sIQAQ,Community and economic development,Employment (Economic development),William and Flora Hewlett Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7FQAU,App-20220610-0,,"0014T00000BHpHqQAL",2500000,$1M-$5M,,29.0,"21-40",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7s8QAA,,,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7gQAE,App-20220610-27,,"0014T000009ZUIcQAO",1057640,$1M-$5M,,9.0,"5-9",,"501(c)3 public charity",Grant,a054T00000B1EMLQA3,a064T000001f7wwQAA,Human services,Human services information,Blue Cross and Blue Shield of North Carolina Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7GQAU,App-20220610-1,,"0014T00000BHpHmQAL",1849505,$1M-$5M,,14.0,"10-20",,Not 501(c)3 public charity or government agency,Grant,a054T00000B1EMLQA3,a064T000001f7s9QAA,,,,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-09 21:26:49","0051C000008XsOpQAK","2023-02-09 21:26:49"
a0u4T000005uF7hQAE,App-20220610-28,,"0014T00000BHmJCQA1",,,,177.0,>100,Another race or ethnicity (please describe below):,"501(c)3 public charity",funder-sponsored,a054T00000B1EMGQA3,a064T000001f7svQAA,Human services,Family services,Marin Community Foundation,,"2022-06-10 23:49:15","00515000006O7O1AAK","2023-02-10 19:20:43","0051C000008XsOpQAK","2023-02-10 19:20:43"
