DATE_CREATED,MEMBER_ID,SURVEY_ID,IP_ADDRESS,REC_ID,SL1,SL2,net_promoter_score_listen_for_good,l4g_meet_needs,l4g_respect,l4g_easy_get_services,l4g_connected,l4g_good_at,l4g_do_better,l4g_age,l4g_gender,l4g_race
2019-12-26T17:01:57+00:00,531051,274923972,68.2.122.3,11244372808,Human services,Targeted population support,10,Extremely well,Always,,,Sending resources giving information on Special Education..,?,,,
2020-01-02T05:53:29+00:00,531051,274923972,172.58.23.141,11251176081,Human services,Targeted population support,8,A little bit,Always,,,Que son muy amables,Me gustaria tener mas informacion,,Female,Hispanic or Latino
2020-01-06T16:15:10+00:00,531051,274923972,66.210.57.59,11257313034,Human services,Targeted population support,10,Extremely well,Always,,,Connecting families to services available for their own childs special needs,I had a good experience i would not change anything,,Female,Hispanic or Latino
2020-01-07T15:36:57+00:00,531051,274923972,68.2.145.238,11259394084,Human services,Targeted population support,4,Not well at all,Always,,,Providing phone numbers,,,,
2020-01-09T12:38:20+00:00,531051,274923972,174.238.0.33,11263719968,Human services,Targeted population support,9,,,,,,,,,
2020-01-09T15:44:45+00:00,531051,274923972,207.108.136.53,11264115863,Human services,Targeted population support,10,Extremely well,Always,,,Giving great resources and empowering us to get through difficult challenges.,Have a person provide information to families during open enrollments at school or set up an information table so families know about the agency.,,Female,Hispanic or Latino
2020-01-09T19:29:14+00:00,531051,274923972,184.98.140.129,11264657890,Human services,Targeted population support,5,Fairly well,Always,,,,,,Female,Hispanic or Latino
2020-01-10T20:46:38+00:00,531051,274923972,71.223.165.61,11267166537,Human services,Targeted population support,9,Extremely well,Sometimes,,,Orientan a los padres es de much ayuda ..,Me parece bien no creo devan mejorar ..,,Female,Hispanic or Latino
2020-01-13T13:44:27+00:00,531051,274923972,174.22.232.91,11270448327,Human services,Targeted population support,4,A little bit,Always,,,Support and education,Maybe have more knowledge of special education laws as they apply to children in Special education.,,Female,White
2020-01-14T07:37:44+00:00,531051,274923972,68.230.18.214,11272466145,Human services,Targeted population support,10,A little bit,Always,,,Giving you support when needed,More resources for children with certain disabilities.,,Female,Hispanic or Latino
2020-01-14T14:32:43+00:00,531051,274923972,172.58.139.56,11273128319,Human services,Targeted population support,10,Very well,Always,,,Answering questions,Nothing at this time,,Female,White
2020-01-14T22:26:39+00:00,531051,274923972,104.166.15.234,11274393810,Human services,Targeted population support,10,Extremely well,Always,,,Is really supported,Keep families sharing their knowledge care and support,,Female,Hispanic or Latino
2020-01-15T11:57:51+00:00,531051,274923972,67.1.147.128,11275547380,Human services,Targeted population support,10,Extremely well,Always,,,,,,,
2020-01-17T14:54:44+00:00,531051,274923972,68.231.18.53,11281411205,Human services,Targeted population support,10,Extremely well,Always,,,So far helping me navigate the process of getting my son an IEP.,Nothing,,Female,White
2020-01-17T15:12:52+00:00,531051,274923972,99.203.104.152,11281455885,Human services,Targeted population support,8,Extremely well,Always,,,Help with specific education,Not much in my opinion,,Female,White
2020-01-20T15:45:59+00:00,531051,274923972,184.101.88.219,11286190289,Human services,Targeted population support,10,Extremely well,Always,,,Offering classes on shared issues providing parent support answering questions quickly,I think more people could go to training if some form of respite was offered.  Actually in my case my ride and respite provider are same person usually meaning I can't go.,,Female,White
2020-01-21T13:15:46+00:00,531051,274923972,68.98.127.79,11288234741,Human services,Targeted population support,10,Very well,Always,,,Connecting with helpful resources and empathizing with my situation,Personalized game plan for support that includes timeline with next steps,,Male,White
