"id","name","ownerID","ofClientsYears","activeProgramCohort","programCohortHistory","alternateAccountName","annualBudgetMostRecent","billingAddressCity","billingAddressCountry","billingAddressGeocodeAccuracy","billingAddressLatitude","billingAddressLongitude","billingAddressPostalCode","billingAddressState","billingAddressStreet","bipocHeadOfOrg","bipocPctOfBoard","bipocPctOfSrLeaders","bipocPctOfStaff","caseStudyStatus","caseType","countOfProgrammEngagements","fullTimeStaffRangeCount","fullTimeStaffRange","highestStageValue","directoryTags","SMAccountID","mostRecentPEState","mrp","parentID","serviceDelivery","type","createdDate","createdBy","lastModifiedDate","lastModifiedBy","systemModstamp","daysSinceLastActivity"
0011500001aFVgMAAW,Pacific Foundation Services,"00515000006O7b8AAC",,,,,,San Francisco,,Address,37.7884180,-122.4245640,"94109",CA,"1660 Bush Street",,,,,,,0.00,,,,,,,0,,,Other,"2017-01-13 21:14:30","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aFVk4AAG",Stanford Social Innovation Review,"00515000006O7b8AAC",,,,Stanford University,,Stanford,,Address,37.4234330,-122.1683210,"94305",CA,"559 Nathan Abbott Way",,,,,,,0.00,,,,,,,0,,,Other,"2017-01-13 21:23:48","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aGCJdAAO",KHA & Associates,"00515000006O7b8AAC",,,,,,Birmingham,,,,,"35242",AL,"1401 Doug Baker Blvd.",,,,,,,0.00,,,,,,,0,,,Consultants,"2017-01-20 01:05:12","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aGCKWAA4",The San Francisco Foundation,"00515000006O7b8AAC",,,,,,San Francisco,US,Address,37.7946440,-122.3996440,"94111",CA,One Embarcadero Center Suite 1400,,,,,,,0.00,,,,,,,0,,,Independent foundations,"2017-01-20 01:20:11","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",379.00
"0011500001aGCLjAAO",Beeck Center for Social Impact and Innovation,"00515000006O7b8AAC",,,,,,Washington,,,,,"20057",DC,"37th and O Streets NW ICC 100",,,,,,,0.00,,,,,,,0,,,All other foundations,"2017-01-20 01:36:14","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aGCM3AAO",Independent Sector,"00515000006O7b8AAC",,,,,,Washington,,Address,38.9034330,-77.0372980,"20036",DC,"1602 L Street NW Suite 900",,,,,,,0.00,,,,,,,0,,,Philanthropy serving organizations,"2017-01-20 01:44:53","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-30 20:24:43",225.00
"0011500001aGE9fAAG",Einhorn Collaborative,"00515000006O7b8AAC",,,,,,New York,,Address,40.7527500,-73.9741130,"10017",NY,"140 East 45th Street, 24th Floor",,,,,,,0.00,,,,,,,0,,,Family foundations,"2017-01-20 18:17:06","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",352.00
"0011500001aGF0VAAW",F.B. Heron Foundation,"00515000006O7b8AAC",,,,,,New York,,Address,40.7079670,-74.0111180,"10005",NY,"100 Broadway 17th Floor",,,,,,,0.00,,,,,,,0,,,Independent foundations,"2017-01-20 18:53:04","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aGF22AAG",S.D.Bechtel Jr. Foundation,"00515000006O7b8AAC",,,,,,San Francisco,,Zip,37.7400000,-122.3817000,"94111",CA,PO Box 193809,,,,,,,0.00,,,,,,,0,,,All other foundations,"2017-01-20 18:59:51","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aGF2bAAG",Southeastern Council on Foundations,"00515000006O7b8AAC",,,,,,Atlanta,,Address,33.7568210,-84.3885530,"30303",GA,"100 Peachtree Street NW Suite 2080",,,,,,,0.00,,,,,,,0,,,Nonprofit,"2017-01-20 19:02:57","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aGkLRAA0",Underdog Ventures,"00515000006O7b8AAC",,,,,,Island Pond,,Zip,44.8035000,-71.8538000,"05846",VT,"23 Route 105, E. Brighton Rd.
P.O. Box 443",,,,,,,0.00,,,,,,,0,,,For profit,"2017-01-27 14:18:27","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001aGkQlAAK",Omidyar Network,"00515000006O7b8AAC",,,,,,Redwood City,US,Address,37.4862860,-122.2257620,"94063",CA,"1991 Broadway Street, Suite 200",,,,,,,0.00,,,,,,,0,,,Community foundations,"2017-01-27 14:33:48","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2023-03-07 01:44:13",37.00
"0011500001bExW3AAK",Walton Family Foundation,"00515000006O7b8AAC",,,,,,Bentonville,,Zip,36.3588000,-94.2308000,"72712",AR,P.O. Box 2030,,,,,,,0.00,,,,,,,0,,,Family foundations,"2017-02-11 14:31:15","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2023-03-31 18:54:17",12.00
"0011500001bExWIAA0",Rural Support Partners,"00515000006O7b8AAC",,,,,,Ashville,,Address,35.5783770,-82.6085250,"28806",NC,"1456 Patton Avenue, Suite C",,,,,,,0.00,,,,,,,0,,,Consultants,"2017-02-11 14:38:14","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001bFoFdAAK",Open Source Leadership,"00515000006O7b8AAC",,,,,,Durham,,Address,36.0088390,-78.9217620,"27705",North Carolina,"732 Ninth Street #534",,,,,,,0.00,,,,,,,0,,,Consultants,"2017-02-21 14:47:01","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGbZAAW",The Philanthropy Roundtable,"00515000006O7b8AAC",,,,,,Washington,,Address,38.9046030,-77.0453850,"20036",DC,"1120 20th Street NW Suite 550 South",,,,,,,0.00,,,,,,,0,,,Philanthropy serving organizations,"2017-04-07 19:52:55","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGdMAAW",John S. and James L. Knight Foundation,"00515000006O7b8AAC",,,,,,Miami,,,,,"33131",Florida,"200 S. Biscayne Boulevard, Suite 3300",,,,,,,0.00,,,,,,,0,,,All other foundations,"2017-04-07 19:55:41","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",407.00
"0011500001dVGh4AAG",Robert Wood Johnson Foundation,"00515000006O7b8AAC",,,,RWJF,,Princeton,,Block,40.3558540,-74.6021250,"08540-6614",NJ,"50 College Road East",,,,,,,0.00,,,,,,,0,,,Independent foundations,"2017-04-07 20:09:04","00515000006O7b8AAC","2023-03-10 23:29:22","0054T000001jUQ7QAM","2023-03-14 18:50:15",29.00
"0011500001dVGk8AAG",Accountable Now,"00515000006O7b8AAC",,,,,,London,,,,,WC1X0DW,UK,"1 Easton Street",,,,,,,0.00,,,,,,,0,,,Other,"2017-04-07 20:20:05","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGt0AAG",Walmart Foundation,"00515000006O7b8AAC",,,,,,Bentonville,,,,,"72716-0555",AR,"702 S. W.8th St. Dept.. 8687, No. 0555",,,,,,,0.00,,,,,,,0,,,Corporate foundations/Corporate giving programs,"2017-04-07 20:51:39","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGucAAG",Unity Foundation of La Porte County,"00515000006O7b8AAC",,,,,,Michigan City,US,Zip,41.7179000,-86.9038000,"46361",IN,"po box 527
422 Franklin Street, Suite C",,,,,,,0.00,,,,,,,0,,,Independent foundations,"2017-04-07 20:57:58","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGvGAAW",The Walker Foundation,"00515000006O7b8AAC",,,,,,Ridgeland,,,,,"39157",MS,"1020 Highland Colony Parkway Suite 802",,,,,,,0.00,,,,,,,0,,,All other foundations,"2017-04-07 20:59:33","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGvzAAG",Atlantic Investment Company,"00515000006O7b8AAC",,,,,,Atlanta,,Zip,33.8343000,-84.3860000,"30305",GA,Two Buckhead Plaza 3050 Peachtree Road NW Suite 200,,,,,,,0.00,,,,,,,0,,,Consultants,"2017-04-07 21:04:07","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGwnAAG",H2 Capital,"00515000006O7b8AAC",,,,,,Macon,,Address,32.8391360,-83.6275360,"31201",GA,"201 Second Street Suite 960",,,,,,,0.00,,,,,,,0,,,For profit,"2017-04-07 21:08:29","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGwOAAW",SunTrust Foundations and Endowment,"00515000006O7b8AAC",,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0,,,Other,"2017-04-07 21:06:52","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGxRAAW",San Diego Grantmakers,"00515000006O7b8AAC",,,,,,San Diego,US,Address,32.8517770,-117.1859990,"92122",CA,"5060 Shoreham Place Suite 350",,,,,,,0.00,,,,,,,0,,,Community foundations,"2017-04-07 21:10:09","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGxvAAG",The Duke Endowment,"00515000006O7b8AAC",,,,,,Charlotte,,Address,35.2142980,-80.8456400,"28202",NC,"800 East Morehead Street",,,,,,,0.00,,,,,,,0,,,Independent foundations,"2017-04-07 21:12:32","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2023-03-10 23:34:46",33.00
"0011500001dVGyPAAW",Southern California Grantmakers,"00515000006O7b8AAC",,,,,,Los Angeles,,Address,34.0593330,-118.2360580,"90012",CA,"1000 North Alameda Street Suite 230",,,,,,,0.00,,,,,,,0,,,Philanthropy serving organizations,"2017-04-07 21:14:01","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-08-23 09:01:14",
"0011500001dVGytAAG",Florida Philanthropic Network,"00515000006O7b8AAC",,,,,,Tampa,,Block,27.9548670,-82.5239190,"33607",FL,"1211 N. Westshore Blvd Suite 3",,,,,,,0.00,,,,,,,0,,,Philanthropy serving organizations,"2017-04-07 21:15:29","00515000006O7b8AAC","2022-08-23 09:01:14","00515000006O7O1AAK","2022-09-19 15:12:18",205.00
